Project_ID,Industry,Agent_Type,Primary_Tool,Status,Failure_Reason,Human_in_the_Loop_Ratio,Tokens_per_Task,ROI_Score
AGP-0631,Government,Assistant,CrewAI,Production,,0.613,2348,4.05
AGP-0632,Energy,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.728,3909,-0.71
AGP-0633,Finance,Autonomous,CrewAI,Abandoned,Loop Error,0.428,5097,-0.3
AGP-0634,Retail,Autonomous,LangGraph,Abandoned,Loop Error,0.221,3224,-0.02
AGP-0635,Finance,Assistant,LangGraph,Pilot,Security Violation,0.932,2907,0.65
AGP-0636,Finance,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.555,7770,0.49
AGP-0637,Technology,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.444,8526,0.66
AGP-0638,Technology,Autonomous,CrewAI,Pilot,Schema Drift,0.225,3450,0.33
AGP-0639,Insurance,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.468,5698,-0.5
AGP-0640,Government,Assistant,CrewAI,Pilot,Security Violation,0.961,3674,0.1
AGP-0641,Insurance,Autonomous,LangGraph,Pilot,Cost Overrun,0.028,2967,0.66
AGP-0642,Energy,Autonomous,AutoGPT 3.0,Pilot,Schema Drift,0.242,6714,1.4
AGP-0643,Finance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Security Violation,0.589,7757,-0.9
AGP-0644,Healthcare,Autonomous,LangGraph,Pilot,Security Violation,0.115,4781,0.27
AGP-0645,Technology,Multi-agent Swarm,CrewAI,Production,,0.459,2827,2.78
AGP-0646,Energy,Assistant,LangGraph,Production,,0.835,4656,2.83
AGP-0647,Finance,Assistant,CrewAI,Pilot,Cost Overrun,0.91,6441,0.95
AGP-0648,Manufacturing,Assistant,LangGraph,Pilot,Loop Error,0.547,4180,1.11
AGP-0649,Technology,Multi-agent Swarm,CrewAI,Abandoned,Loop Error,0.509,5890,-1.28
AGP-0650,Finance,Autonomous,LangGraph,Pilot,Cost Overrun,0.017,3108,1.22
AGP-0651,Retail,Autonomous,AutoGPT 3.0,Production,,0.155,5514,1.55
AGP-0652,Government,Assistant,CrewAI,Pilot,Loop Error,0.692,5661,0.96
AGP-0653,Technology,Assistant,CrewAI,Production,,0.757,6855,0.7
AGP-0654,Healthcare,Autonomous,LangGraph,Abandoned,Cost Overrun,0.248,4870,0.11
AGP-0655,Energy,Autonomous,LangGraph,Abandoned,Schema Drift,0.426,2159,-1.22
AGP-0656,Legal,Autonomous,LangGraph,Abandoned,Security Violation,0.397,3731,-1.06
AGP-0657,Energy,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.418,5563,-0.39
AGP-0658,Legal,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.167,7208,0.09
AGP-0659,Technology,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.51,6177,1.61
AGP-0660,Retail,Autonomous,CrewAI,Pilot,Loop Error,0.358,3015,2.33
AGP-0661,Healthcare,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.315,4474,0.66
AGP-0662,Government,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.048,7711,1.13
AGP-0663,Healthcare,Autonomous,CrewAI,Pilot,Loop Error,0.506,2165,1.74
AGP-0664,Finance,Assistant,LangGraph,Pilot,Loop Error,0.756,5383,0.55
AGP-0665,Legal,Assistant,LangGraph,Pilot,Security Violation,0.799,2240,0.22
AGP-0666,Technology,Assistant,CrewAI,Production,,0.501,8044,2.1
AGP-0667,Energy,Autonomous,LangGraph,Abandoned,Cost Overrun,0.145,4284,0.04
AGP-0668,Telecom,Autonomous,AutoGPT 3.0,Abandoned,Cost Overrun,0.328,4055,0.75
AGP-0669,Legal,Autonomous,CrewAI,Pilot,Schema Drift,0.217,5563,2.19
AGP-0670,Retail,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.643,11381,0.97
AGP-0671,Finance,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.536,5521,0.13
AGP-0672,Manufacturing,Assistant,AutoGPT 3.0,Production,,0.572,10939,2.29
AGP-0673,Telecom,Assistant,LangGraph,Production,,0.99,1829,2.87
AGP-0674,Technology,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.48,3485,0.9
AGP-0675,Technology,Assistant,CrewAI,Pilot,Cost Overrun,0.626,2744,0.34
AGP-0676,Retail,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.368,5015,-0.74
AGP-0677,Government,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.204,6735,-0.65
AGP-0678,Manufacturing,Assistant,CrewAI,Production,,0.771,5620,2.41
AGP-0679,Finance,Autonomous,AutoGPT 3.0,Production,,0.125,5675,2.63
AGP-0680,Legal,Assistant,LangGraph,Pilot,Loop Error,0.546,3931,0.81
AGP-0681,Finance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Security Violation,0.663,11184,1.19
AGP-0682,Healthcare,Autonomous,LangGraph,Abandoned,Schema Drift,0.238,3462,0.28
AGP-0683,Finance,Assistant,LangGraph,Pilot,Loop Error,0.403,3667,1.35
AGP-0684,Retail,Autonomous,CrewAI,Pilot,Schema Drift,0.196,4562,0.12
AGP-0685,Technology,Autonomous,CrewAI,Pilot,Loop Error,0.04,3272,-0.23
AGP-0686,Legal,Autonomous,LangGraph,Abandoned,Loop Error,0.069,3735,-0.07
AGP-0687,Retail,Assistant,LangGraph,Pilot,Cost Overrun,0.484,4083,0.99
AGP-0688,Telecom,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.6,6179,0.45
AGP-0689,Insurance,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.131,9460,-0.44
AGP-0690,Manufacturing,Autonomous,AutoGPT 3.0,Abandoned,Cost Overrun,0.105,7326,-0.6
AGP-0691,Healthcare,Autonomous,CrewAI,Abandoned,Cost Overrun,0.187,3741,-1.02
AGP-0692,Government,Autonomous,LangGraph,Abandoned,Schema Drift,0.016,2929,-0.1
AGP-0693,Healthcare,Assistant,CrewAI,Pilot,Security Violation,0.535,6550,0.43
AGP-0694,Legal,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.766,8165,-0.57
AGP-0695,Government,Assistant,CrewAI,Abandoned,Loop Error,0.81,3255,-0.72
AGP-0696,Manufacturing,Assistant,LangGraph,Pilot,Security Violation,0.698,3584,0.02
AGP-0697,Insurance,Assistant,LangGraph,Production,,0.764,6408,2.73
AGP-0698,Technology,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.18,5632,0.2
AGP-0699,Technology,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.151,4934,0.06
AGP-0700,Legal,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.285,6448,0.48
AGP-0701,Healthcare,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.186,9158,-0.55
AGP-0702,Legal,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.692,4700,-0.99
AGP-0703,Finance,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.421,3506,0.93
AGP-0704,Government,Assistant,AutoGPT 3.0,Production,,0.766,6711,2.54
AGP-0705,Healthcare,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.467,4766,1.26
AGP-0706,Manufacturing,Assistant,LangGraph,Pilot,Cost Overrun,0.554,4088,-0.53
AGP-0707,Insurance,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.109,6999,-0.41
AGP-0708,Insurance,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.125,9940,-0.81
AGP-0709,Retail,Autonomous,LangGraph,Abandoned,Schema Drift,0.528,2832,-0.36
AGP-0710,Retail,Autonomous,CrewAI,Abandoned,Loop Error,0.35,3458,-0.99
AGP-0711,Telecom,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.855,7392,-0.05
AGP-0712,Technology,Assistant,CrewAI,Abandoned,Cost Overrun,0.339,3863,-0.2
AGP-0713,Energy,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Loop Error,0.84,5576,-0.99
AGP-0714,Government,Assistant,CrewAI,Production,,0.884,6826,2.0
AGP-0715,Insurance,Autonomous,LangGraph,Pilot,Security Violation,0.472,4268,1.9
AGP-0716,Healthcare,Assistant,LangGraph,Pilot,Security Violation,0.833,2651,0.68
AGP-0717,Manufacturing,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.876,5998,-0.6
AGP-0718,Finance,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.197,10949,-0.95
AGP-0719,Technology,Autonomous,LangGraph,Pilot,Security Violation,0.083,2567,0.07
AGP-0720,Telecom,Autonomous,LangGraph,Abandoned,Loop Error,0.398,5010,-0.84
AGP-0721,Manufacturing,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.102,6652,-0.17
AGP-0722,Retail,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.355,5264,0.38
AGP-0723,Finance,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.343,5139,0.11
AGP-0724,Telecom,Assistant,AutoGPT 3.0,Abandoned,Schema Drift,0.539,7239,-1.17
AGP-0725,Finance,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.498,7082,-0.08
AGP-0726,Finance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Loop Error,0.464,16634,0.67
AGP-0727,Healthcare,Assistant,CrewAI,Abandoned,Schema Drift,0.689,3739,-0.37
AGP-0728,Finance,Autonomous,LangGraph,Pilot,Cost Overrun,0.018,3207,0.41
AGP-0729,Retail,Assistant,AutoGPT 3.0,Abandoned,Security Violation,0.756,5817,-0.44
AGP-0730,Manufacturing,Assistant,LangGraph,Production,,0.928,4262,1.94
AGP-0731,Legal,Assistant,LangGraph,Pilot,Loop Error,0.512,5071,-0.25
AGP-0732,Finance,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.172,7049,-0.85
AGP-0733,Finance,Assistant,CrewAI,Abandoned,Schema Drift,0.799,4575,-0.99
AGP-0734,Retail,Autonomous,AutoGPT 3.0,Abandoned,Security Violation,0.294,500,-0.67
AGP-0735,Finance,Autonomous,LangGraph,Abandoned,Security Violation,0.086,4165,-0.33
AGP-0736,Technology,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.238,8064,-1.77
AGP-0737,Healthcare,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.85,5247,-1.14
AGP-0738,Legal,Autonomous,CrewAI,Production,,0.587,3604,3.82
AGP-0739,Retail,Assistant,AutoGPT 3.0,Production,,0.896,7590,2.81
AGP-0740,Retail,Autonomous,LangGraph,Pilot,Loop Error,0.331,5729,-0.58
AGP-0741,Finance,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.337,5827,0.09
AGP-0742,Finance,Assistant,CrewAI,Abandoned,Loop Error,0.467,2917,-0.36
AGP-0743,Government,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Security Violation,0.754,13670,-1.59
AGP-0744,Finance,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.209,10349,1.22
AGP-0745,Manufacturing,Autonomous,CrewAI,Abandoned,Cost Overrun,0.083,5920,-0.78
AGP-0746,Retail,Assistant,LangGraph,Pilot,Cost Overrun,0.856,4355,1.35
AGP-0747,Legal,Autonomous,LangGraph,Pilot,Security Violation,0.041,4647,0.28
AGP-0748,Retail,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.161,4344,1.04
AGP-0749,Insurance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.416,14934,-0.19
AGP-0750,Energy,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.755,5872,0.78
AGP-0751,Healthcare,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.598,1975,0.86
AGP-0752,Legal,Assistant,LangGraph,Pilot,Security Violation,0.679,2733,-0.35
AGP-0753,Healthcare,Autonomous,AutoGPT 3.0,Abandoned,Cost Overrun,0.14,6801,-0.06
AGP-0754,Retail,Assistant,AutoGPT 3.0,Abandoned,Cost Overrun,0.387,9042,-0.38
AGP-0755,Technology,Autonomous,LangGraph,Abandoned,Cost Overrun,0.163,3681,-0.26
AGP-0756,Healthcare,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.605,7089,0.91
AGP-0757,Legal,Autonomous,LangGraph,Abandoned,Loop Error,0.387,3695,-1.09
AGP-0758,Government,Autonomous,CrewAI,Pilot,Cost Overrun,0.01,5500,1.02
AGP-0759,Finance,Assistant,LangGraph,Abandoned,Cost Overrun,0.483,6082,-1.25
AGP-0760,Retail,Autonomous,LangGraph,Production,,0.123,5705,3.6
AGP-0761,Technology,Autonomous,LangGraph,Pilot,Schema Drift,0.047,5701,1.07
AGP-0762,Finance,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.658,6213,1.6
AGP-0763,Finance,Autonomous,CrewAI,Abandoned,Security Violation,0.494,1368,-0.28
AGP-0764,Finance,Assistant,AutoGPT 3.0,Abandoned,Security Violation,0.664,5299,-0.02
AGP-0765,Government,Autonomous,CrewAI,Abandoned,Schema Drift,0.18,4261,-0.77
AGP-0766,Finance,Autonomous,LangGraph,Abandoned,Loop Error,0.183,4343,-0.35
AGP-0767,Healthcare,Autonomous,LangGraph,Abandoned,Cost Overrun,0.122,5133,-0.45
AGP-0768,Finance,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.38,4530,1.09
AGP-0769,Finance,Multi-agent Swarm,LangGraph,Abandoned,Schema Drift,0.611,6658,-0.53
AGP-0770,Technology,Autonomous,CrewAI,Pilot,Schema Drift,0.695,1837,0.31
AGP-0771,Healthcare,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.413,9818,-0.21
AGP-0772,Manufacturing,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.59,6454,0.61
AGP-0773,Technology,Assistant,LangGraph,Abandoned,Cost Overrun,0.711,4126,-0.49
AGP-0774,Energy,Assistant,CrewAI,Production,,0.861,4655,3.12
AGP-0775,Finance,Assistant,LangGraph,Pilot,Security Violation,0.547,6927,0.63
AGP-0776,Energy,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.408,5750,0.92
AGP-0777,Technology,Assistant,CrewAI,Pilot,Loop Error,0.757,4854,-0.3
AGP-0778,Healthcare,Assistant,CrewAI,Abandoned,Cost Overrun,0.725,5062,0.43
AGP-0779,Insurance,Autonomous,CrewAI,Abandoned,Loop Error,0.057,3155,-0.64
AGP-0780,Energy,Autonomous,LangGraph,Pilot,Schema Drift,0.207,5351,0.96
AGP-0781,Healthcare,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.886,7025,-0.14
AGP-0782,Government,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.05,10455,-1.34
AGP-0783,Retail,Autonomous,CrewAI,Pilot,Loop Error,0.118,3311,1.53
AGP-0784,Technology,Autonomous,AutoGPT 3.0,Production,,0.318,10133,2.25
AGP-0785,Telecom,Autonomous,LangGraph,Pilot,Security Violation,0.263,3558,0.69
AGP-0786,Legal,Assistant,CrewAI,Pilot,Loop Error,0.807,4717,0.39
AGP-0787,Energy,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.672,3204,-1.14
AGP-0788,Legal,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.83,10740,-0.44
AGP-0789,Insurance,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.275,8938,0.97
AGP-0790,Technology,Assistant,CrewAI,Pilot,Security Violation,0.842,2831,1.83
AGP-0791,Healthcare,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.92,6494,-0.68
AGP-0792,Retail,Assistant,CrewAI,Abandoned,Security Violation,0.735,6940,-0.41
AGP-0793,Legal,Assistant,LangGraph,Pilot,Security Violation,0.875,6804,0.4
AGP-0794,Finance,Assistant,LangGraph,Pilot,Loop Error,0.439,5769,0.36
AGP-0795,Finance,Assistant,AutoGPT 3.0,Production,,0.84,5397,3.08
AGP-0796,Legal,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.626,9699,0.53
AGP-0797,Finance,Multi-agent Swarm,CrewAI,Abandoned,Schema Drift,0.13,5228,-0.07
AGP-0798,Healthcare,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.899,5087,1.85
AGP-0799,Technology,Assistant,CrewAI,Pilot,Schema Drift,0.72,4765,0.33
AGP-0800,Technology,Autonomous,LangGraph,Pilot,Loop Error,0.277,3252,0.59
AGP-0801,Insurance,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.255,3818,-0.43
AGP-0802,Legal,Autonomous,CrewAI,Pilot,Security Violation,0.22,3876,-0.32
AGP-0803,Government,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.303,6169,0.11
AGP-0804,Technology,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.314,6321,0.49
AGP-0805,Finance,Assistant,CrewAI,Abandoned,Cost Overrun,0.794,4228,-0.4
AGP-0806,Finance,Autonomous,CrewAI,Pilot,Schema Drift,0.12,6294,2.11
AGP-0807,Technology,Autonomous,CrewAI,Abandoned,Loop Error,0.155,5499,-0.71
AGP-0808,Healthcare,Autonomous,AutoGPT 3.0,Abandoned,Cost Overrun,0.456,11332,-1.15
AGP-0809,Manufacturing,Assistant,LangGraph,Pilot,Loop Error,0.757,696,1.35
AGP-0810,Telecom,Autonomous,AutoGPT 3.0,Abandoned,Security Violation,0.116,8264,-2.0
AGP-0811,Finance,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.312,5871,-0.72
AGP-0812,Finance,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.329,6780,0.58
AGP-0813,Telecom,Assistant,CrewAI,Pilot,Loop Error,0.74,4112,-0.47
AGP-0814,Technology,Assistant,CrewAI,Pilot,Loop Error,0.743,4659,1.16
AGP-0815,Finance,Autonomous,CrewAI,Pilot,Cost Overrun,0.01,6787,1.79
AGP-0816,Government,Autonomous,AutoGPT 3.0,Production,,0.387,5194,1.97
AGP-0817,Government,Assistant,LangGraph,Abandoned,Cost Overrun,0.838,3413,0.01
AGP-0818,Manufacturing,Autonomous,LangGraph,Abandoned,Schema Drift,0.262,4581,-0.43
AGP-0819,Technology,Autonomous,LangGraph,Pilot,Loop Error,0.092,3424,-0.19
AGP-0820,Healthcare,Autonomous,LangGraph,Pilot,Cost Overrun,0.666,3549,0.73
AGP-0821,Finance,Autonomous,CrewAI,Pilot,Loop Error,0.286,2274,-0.82
AGP-0822,Technology,Assistant,AutoGPT 3.0,Production,,0.932,5215,3.77
AGP-0823,Legal,Assistant,CrewAI,Pilot,Loop Error,0.392,4967,-0.13
AGP-0824,Technology,Multi-agent Swarm,LangGraph,Abandoned,Schema Drift,0.311,5867,-1.04
AGP-0825,Energy,Assistant,LangGraph,Abandoned,Loop Error,0.729,3568,0.09
AGP-0826,Finance,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.512,7054,-0.38
AGP-0827,Technology,Assistant,CrewAI,Production,,0.901,3241,4.35
AGP-0828,Healthcare,Multi-agent Swarm,LangGraph,Production,,0.768,5798,1.93
AGP-0829,Government,Assistant,CrewAI,Abandoned,Schema Drift,0.964,6049,-0.59
AGP-0830,Healthcare,Autonomous,AutoGPT 3.0,Production,,0.247,4641,4.43
AGP-0831,Technology,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.817,8505,-1.53
AGP-0832,Manufacturing,Autonomous,LangGraph,Abandoned,Schema Drift,0.051,4984,-0.25
AGP-0833,Retail,Autonomous,LangGraph,Pilot,Security Violation,0.223,4671,0.84
AGP-0834,Technology,Autonomous,CrewAI,Production,,0.481,3178,2.44
AGP-0835,Technology,Assistant,CrewAI,Pilot,Security Violation,0.97,4281,0.63
AGP-0836,Manufacturing,Assistant,LangGraph,Production,,0.841,3052,2.54
AGP-0837,Insurance,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.68,9818,-0.6
AGP-0838,Telecom,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.866,9162,-0.28
AGP-0839,Retail,Autonomous,CrewAI,Pilot,Loop Error,0.017,3259,1.48
AGP-0840,Manufacturing,Assistant,LangGraph,Production,,0.689,3447,2.1
AGP-0841,Finance,Autonomous,LangGraph,Pilot,Security Violation,0.055,4144,0.98
AGP-0842,Insurance,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.083,7351,0.07
AGP-0843,Manufacturing,Autonomous,LangGraph,Abandoned,Schema Drift,0.247,7156,-0.75
AGP-0844,Retail,Autonomous,CrewAI,Pilot,Loop Error,0.285,3024,0.86
AGP-0845,Finance,Assistant,CrewAI,Abandoned,Security Violation,0.397,2379,-0.75
AGP-0846,Government,Assistant,AutoGPT 3.0,Pilot,Cost Overrun,0.756,5745,1.55
AGP-0847,Retail,Multi-agent Swarm,AutoGPT 3.0,Production,,0.215,11648,1.33
AGP-0848,Technology,Assistant,LangGraph,Pilot,Cost Overrun,0.764,3587,1.62
AGP-0849,Finance,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.182,5622,-0.58
AGP-0850,Telecom,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.725,5422,1.87
AGP-0851,Healthcare,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.217,6072,-0.65
AGP-0852,Healthcare,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.179,6971,-0.61
AGP-0853,Energy,Autonomous,LangGraph,Abandoned,Security Violation,0.164,3003,-0.48
AGP-0854,Government,Autonomous,LangGraph,Pilot,Security Violation,0.218,5032,0.62
AGP-0855,Healthcare,Assistant,LangGraph,Pilot,Schema Drift,0.814,1932,0.11
AGP-0856,Retail,Assistant,AutoGPT 3.0,Abandoned,Security Violation,0.846,9238,-1.65
AGP-0857,Insurance,Assistant,CrewAI,Production,,0.759,4159,4.37
AGP-0858,Government,Assistant,CrewAI,Pilot,Loop Error,0.644,4245,0.42
AGP-0859,Retail,Assistant,CrewAI,Abandoned,Cost Overrun,0.228,5551,-1.3
AGP-0860,Manufacturing,Assistant,LangGraph,Pilot,Cost Overrun,0.641,3783,0.45
AGP-0861,Insurance,Autonomous,CrewAI,Pilot,Loop Error,0.064,2745,-0.17
AGP-0862,Insurance,Autonomous,LangGraph,Abandoned,Cost Overrun,0.162,3740,-0.56
AGP-0863,Insurance,Assistant,CrewAI,Pilot,Schema Drift,0.715,4905,-0.75
AGP-0864,Manufacturing,Assistant,CrewAI,Pilot,Cost Overrun,0.737,5258,1.29
AGP-0865,Finance,Autonomous,CrewAI,Abandoned,Schema Drift,0.518,6658,-0.47
AGP-0866,Government,Autonomous,LangGraph,Abandoned,Loop Error,0.32,3672,-0.3
AGP-0867,Government,Assistant,AutoGPT 3.0,Pilot,Cost Overrun,0.701,4489,0.57
AGP-0868,Insurance,Assistant,CrewAI,Abandoned,Loop Error,0.698,5862,0.21
AGP-0869,Finance,Autonomous,LangGraph,Pilot,Loop Error,0.057,3513,0.21
AGP-0870,Healthcare,Assistant,LangGraph,Pilot,Security Violation,0.895,3825,1.34
AGP-0871,Insurance,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.334,6264,-0.44
AGP-0872,Finance,Autonomous,LangGraph,Production,,0.561,1311,2.96
AGP-0873,Telecom,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.361,7131,0.93
AGP-0874,Retail,Autonomous,LangGraph,Pilot,Security Violation,0.174,3512,0.85
AGP-0875,Technology,Assistant,LangGraph,Production,,0.628,4164,3.94
AGP-0876,Government,Assistant,CrewAI,Production,,0.782,7680,2.04
AGP-0877,Retail,Autonomous,CrewAI,Abandoned,Schema Drift,0.196,3919,-0.0
AGP-0878,Legal,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.291,6591,-0.29
AGP-0879,Technology,Assistant,CrewAI,Pilot,Schema Drift,0.958,1673,1.06
AGP-0880,Technology,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.515,2487,-0.39
AGP-0881,Retail,Autonomous,LangGraph,Production,,0.146,2607,2.97
AGP-0882,Technology,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.837,2563,0.11
AGP-0883,Government,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.182,20155,-0.63
AGP-0884,Retail,Assistant,AutoGPT 3.0,Pilot,Cost Overrun,0.665,3326,0.64
AGP-0885,Healthcare,Autonomous,CrewAI,Pilot,Cost Overrun,0.208,4193,-0.39
AGP-0886,Retail,Assistant,LangGraph,Pilot,Security Violation,0.68,3306,0.28
AGP-0887,Retail,Assistant,LangGraph,Abandoned,Security Violation,0.701,5159,0.25
AGP-0888,Finance,Multi-agent Swarm,LangGraph,Production,,0.878,7277,3.02
AGP-0889,Healthcare,Assistant,AutoGPT 3.0,Pilot,Schema Drift,0.92,6818,2.18
AGP-0890,Technology,Autonomous,LangGraph,Production,,0.215,4270,2.04
AGP-0891,Legal,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.133,7237,-1.12
AGP-0892,Telecom,Assistant,CrewAI,Pilot,Cost Overrun,0.698,4769,1.33
AGP-0893,Healthcare,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.42,12268,-0.67
AGP-0894,Finance,Autonomous,AutoGPT 3.0,Abandoned,Cost Overrun,0.124,5227,0.3
AGP-0895,Insurance,Assistant,LangGraph,Pilot,Cost Overrun,0.873,4763,0.73
AGP-0896,Government,Multi-agent Swarm,AutoGPT 3.0,Pilot,Security Violation,0.182,8042,-0.36
AGP-0897,Healthcare,Autonomous,LangGraph,Production,,0.408,1781,3.76
AGP-0898,Healthcare,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.081,7571,-0.8
AGP-0899,Healthcare,Assistant,CrewAI,Abandoned,Loop Error,0.808,3212,0.59
AGP-0900,Manufacturing,Assistant,LangGraph,Abandoned,Cost Overrun,0.67,3254,-0.89
AGP-0901,Retail,Autonomous,AutoGPT 3.0,Production,,0.337,7671,2.18
AGP-0902,Healthcare,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.197,5605,0.37
AGP-0903,Finance,Assistant,LangGraph,Production,,0.513,2594,2.21
AGP-0904,Retail,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Loop Error,0.795,10430,-1.22
AGP-0905,Telecom,Multi-agent Swarm,CrewAI,Abandoned,Schema Drift,0.315,7528,-0.98
AGP-0906,Technology,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Cost Overrun,0.173,4418,-0.83
AGP-0907,Manufacturing,Assistant,CrewAI,Pilot,Security Violation,0.823,4847,0.74
AGP-0908,Finance,Autonomous,CrewAI,Abandoned,Security Violation,0.461,3372,-1.53
AGP-0909,Healthcare,Assistant,LangGraph,Abandoned,Loop Error,0.55,3957,0.22
AGP-0910,Legal,Autonomous,LangGraph,Abandoned,Schema Drift,0.045,2994,-0.22
AGP-0911,Insurance,Assistant,AutoGPT 3.0,Production,,0.883,9836,2.08
AGP-0912,Government,Autonomous,LangGraph,Production,,0.447,2535,2.83
AGP-0913,Government,Assistant,CrewAI,Production,,0.967,4930,0.47
AGP-0914,Telecom,Autonomous,LangGraph,Pilot,Schema Drift,0.465,2795,1.04
AGP-0915,Telecom,Autonomous,LangGraph,Pilot,Schema Drift,0.447,3809,1.57
AGP-0916,Telecom,Autonomous,CrewAI,Abandoned,Security Violation,0.166,1650,-0.38
AGP-0917,Finance,Assistant,AutoGPT 3.0,Abandoned,Security Violation,0.926,8627,-1.03
AGP-0918,Finance,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Loop Error,0.252,14175,-2.0
AGP-0919,Legal,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.246,4047,0.3
AGP-0920,Manufacturing,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.674,8657,0.54
